,Survived,Age,Pclass,Sex,Number of parernts and children,Fare,Number of sublings
891,,34.5,3,1,0,7.8292,0
892,,47.0,3,0,0,7.0,1
893,,62.0,2,1,0,9.6875,0
894,,27.0,3,1,0,8.6625,0
895,,22.0,3,0,1,12.2875,1
896,,14.0,3,1,0,9.225,0
897,,30.0,3,0,0,7.6292,0
898,,26.0,2,1,1,29.0,1
899,,18.0,3,0,0,7.2292,0
900,,21.0,3,1,0,24.15,2
901,,29.881137667304014,3,1,0,7.8958,0
902,,46.0,1,1,0,26.0,0
903,,23.0,1,0,0,82.2667,1
904,,63.0,2,1,0,26.0,1
905,,47.0,1,0,0,61.175,1
906,,24.0,2,0,0,27.7208,1
907,,35.0,2,1,0,12.35,0
908,,21.0,3,1,0,7.225,0
909,,27.0,3,0,0,7.925,1
910,,45.0,3,0,0,7.225,0
911,,55.0,1,1,0,59.4,1
912,,9.0,3,1,1,3.1708,0
913,,29.881137667304014,1,0,0,31.6833,0
914,,21.0,1,1,1,61.3792,0
915,,48.0,1,0,3,262.375,1
916,,50.0,3,1,0,14.5,1
917,,22.0,1,0,1,61.9792,0
918,,22.5,3,1,0,7.225,0
919,,41.0,1,1,0,30.5,0
920,,29.881137667304014,3,1,0,21.6792,2
921,,50.0,2,1,0,26.0,1
922,,24.0,2,1,0,31.5,2
923,,33.0,3,0,2,20.575,1
924,,29.881137667304014,3,0,2,23.45,1
925,,30.0,1,1,0,57.75,1
926,,18.5,3,1,0,7.2292,0
927,,29.881137667304014,3,0,0,8.05,0
928,,21.0,3,0,0,8.6625,0
929,,25.0,3,1,0,9.5,0
930,,29.881137667304014,3,1,0,56.4958,0
931,,39.0,3,1,1,13.4167,0
932,,29.881137667304014,1,1,0,26.55,0
933,,41.0,3,1,0,7.85,0
934,,30.0,2,0,0,13.0,0
935,,45.0,1,0,0,52.5542,1
936,,25.0,3,1,0,7.925,0
937,,45.0,1,1,0,29.7,0
938,,29.881137667304014,3,1,0,7.75,0
939,,60.0,1,0,0,76.2917,0
940,,36.0,3,0,2,15.9,0
941,,24.0,1,1,0,60.0,1
942,,27.0,2,1,0,15.0333,0
943,,20.0,2,0,1,23.0,2
944,,28.0,1,0,2,263.0,3
945,,29.881137667304014,2,1,0,15.5792,0
946,,10.0,3,1,1,29.125,4
947,,35.0,3,1,0,7.8958,0
948,,25.0,3,1,0,7.65,0
949,,29.881137667304014,3,1,0,16.1,1
950,,36.0,1,0,0,262.375,0
951,,17.0,3,1,0,7.8958,0
952,,32.0,2,1,0,13.5,0
953,,18.0,3,1,0,7.75,0
954,,22.0,3,0,0,7.725,0
955,,13.0,1,1,2,262.375,2
956,,29.881137667304014,2,0,0,21.0,0
957,,18.0,3,0,0,7.8792,0
958,,47.0,1,1,0,42.4,0
959,,31.0,1,1,0,28.5375,0
960,,60.0,1,0,4,263.0,1
961,,24.0,3,0,0,7.75,0
962,,21.0,3,1,0,7.8958,0
963,,29.0,3,0,0,7.925,0
964,,28.5,1,1,0,27.7208,0
965,,35.0,1,0,0,211.5,0
966,,32.5,1,1,0,211.5,0
967,,29.881137667304014,3,1,0,8.05,0
968,,55.0,1,0,0,25.7,2
969,,30.0,2,1,0,13.0,0
970,,24.0,3,0,0,7.75,0
971,,6.0,3,1,1,15.2458,1
972,,67.0,1,1,0,221.7792,1
973,,49.0,1,1,0,26.0,0
974,,29.881137667304014,3,1,0,7.8958,0
975,,29.881137667304014,2,1,0,10.7083,0
976,,29.881137667304014,3,1,0,14.4542,1
977,,27.0,3,0,0,7.8792,0
978,,18.0,3,0,0,8.05,0
979,,29.881137667304014,3,0,0,7.75,0
980,,2.0,2,1,1,23.0,1
981,,22.0,3,0,0,13.9,1
982,,29.881137667304014,3,1,0,7.775,0
983,,27.0,1,0,2,52.0,1
984,,29.881137667304014,3,1,0,8.05,0
985,,25.0,1,1,0,26.0,0
986,,25.0,3,1,0,7.7958,0
987,,76.0,1,0,0,78.85,1
988,,29.0,3,1,0,7.925,0
989,,20.0,3,0,0,7.8542,0
990,,33.0,3,1,0,8.05,0
991,,43.0,1,0,0,55.4417,1
992,,27.0,2,1,0,26.0,1
993,,29.881137667304014,3,1,0,7.75,0
994,,26.0,3,1,0,7.775,0
995,,16.0,3,0,1,8.5167,1
996,,28.0,3,1,0,22.525,0
997,,21.0,3,1,0,7.8208,0
998,,29.881137667304014,3,1,0,7.75,0
999,,29.881137667304014,3,1,0,8.7125,0
1000,,18.5,2,1,0,13.0,0
1001,,41.0,2,1,0,15.0458,0
1002,,29.881137667304014,3,0,0,7.7792,0
1003,,36.0,1,0,0,31.6792,0
1004,,18.5,3,0,0,7.2833,0
1005,,63.0,1,0,0,221.7792,1
1006,,18.0,3,1,0,14.4542,1
1007,,29.881137667304014,3,1,0,6.4375,0
1008,,1.0,3,0,1,16.7,1
1009,,36.0,1,1,0,75.2417,0
1010,,29.0,2,0,0,26.0,1
1011,,12.0,2,0,0,15.75,0
1012,,29.881137667304014,3,1,0,7.75,1
1013,,35.0,1,0,0,57.75,1
1014,,28.0,3,1,0,7.25,0
1015,,29.881137667304014,3,1,0,7.75,0
1016,,17.0,3,0,1,16.1,0
1017,,22.0,3,1,0,7.7958,0
1018,,29.881137667304014,3,0,0,23.25,2
1019,,42.0,2,1,0,13.0,0
1020,,24.0,3,1,0,8.05,0
1021,,32.0,3,1,0,8.05,0
1022,,53.0,1,1,0,28.5,0
1023,,29.881137667304014,3,0,4,25.4667,0
1024,,29.881137667304014,3,1,0,6.4375,1
1025,,43.0,3,1,0,7.8958,0
1026,,24.0,3,1,0,7.8542,0
1027,,26.5,3,1,0,7.225,0
1028,,26.0,2,1,0,13.0,0
1029,,23.0,3,0,0,8.05,0
1030,,40.0,3,1,6,46.9,1
1031,,10.0,3,0,2,46.9,5
1032,,33.0,1,0,0,151.55,0
1033,,61.0,1,1,3,262.375,1
1034,,28.0,2,1,0,26.0,0
1035,,42.0,1,1,0,26.55,0
1036,,31.0,3,1,0,18.0,3
1037,,29.881137667304014,1,1,0,51.8625,0
1038,,22.0,3,1,0,8.05,0
1039,,29.881137667304014,1,1,0,26.55,0
1040,,30.0,2,1,1,26.0,1
1041,,23.0,1,0,1,83.1583,0
1042,,29.881137667304014,3,1,0,7.8958,0
1043,,60.5,3,1,0,,0
1044,,36.0,3,0,2,12.1833,0
1045,,13.0,3,1,2,31.3875,4
1046,,24.0,3,1,0,7.55,0
1047,,29.0,1,0,0,221.7792,0
1048,,23.0,3,0,0,7.8542,0
1049,,42.0,1,1,0,26.55,0
1050,,26.0,3,0,2,13.775,0
1051,,29.881137667304014,3,0,0,7.7333,0
1052,,7.0,3,1,1,15.2458,1
1053,,26.0,2,0,0,13.5,0
1054,,29.881137667304014,3,1,0,7.0,0
1055,,41.0,2,1,0,13.0,0
1056,,26.0,3,0,1,22.025,1
1057,,48.0,1,1,0,50.4958,0
1058,,18.0,3,1,2,34.375,2
1059,,29.881137667304014,1,0,0,27.7208,0
1060,,22.0,3,0,0,8.9625,0
1061,,29.881137667304014,3,1,0,7.55,0
1062,,27.0,3,1,0,7.225,0
1063,,23.0,3,1,0,13.9,1
1064,,29.881137667304014,3,1,0,7.2292,0
1065,,40.0,3,1,5,31.3875,1
1066,,15.0,2,0,2,39.0,0
1067,,20.0,2,0,0,36.75,0
1068,,54.0,1,1,0,55.4417,1
1069,,36.0,2,0,3,39.0,0
1070,,64.0,1,0,2,83.1583,0
1071,,30.0,2,1,0,13.0,0
1072,,37.0,1,1,1,83.1583,1
1073,,18.0,1,0,0,53.1,1
1074,,29.881137667304014,3,1,0,7.75,0
1075,,27.0,1,0,1,247.5208,1
1076,,40.0,2,1,0,16.0,0
1077,,21.0,2,0,1,21.0,0
1078,,17.0,3,1,0,8.05,2
1079,,29.881137667304014,3,0,2,69.55,8
1080,,40.0,2,1,0,13.0,0
1081,,34.0,2,1,0,26.0,1
1082,,29.881137667304014,1,1,0,26.0,0
1083,,11.5,3,1,1,14.5,1
1084,,61.0,2,1,0,12.35,0
1085,,8.0,2,1,2,32.5,0
1086,,33.0,3,1,0,7.8542,0
1087,,6.0,1,1,2,134.5,0
1088,,18.0,3,0,0,7.775,0
1089,,23.0,2,1,0,10.5,0
1090,,29.881137667304014,3,0,0,8.1125,0
1091,,29.881137667304014,3,0,0,15.5,0
1092,,0.33,3,1,2,14.4,0
1093,,47.0,1,1,0,227.525,1
1094,,8.0,2,0,1,26.0,1
1095,,25.0,2,1,0,10.5,0
1096,,29.881137667304014,1,1,0,25.7417,0
1097,,35.0,3,0,0,7.75,0
1098,,24.0,2,1,0,10.5,0
1099,,33.0,1,0,0,27.7208,0
1100,,25.0,3,1,0,7.8958,0
1101,,32.0,3,1,0,22.525,0
1102,,29.881137667304014,3,1,0,7.05,0
1103,,17.0,2,1,0,73.5,0
1104,,60.0,2,0,0,26.0,1
1105,,38.0,3,0,2,7.775,4
1106,,42.0,1,1,0,42.5,0
1107,,29.881137667304014,3,0,0,7.8792,0
1108,,57.0,1,1,1,164.8667,1
1109,,50.0,1,0,1,211.5,1
1110,,29.881137667304014,3,1,0,8.05,0
1111,,30.0,2,0,0,13.8583,1
1112,,21.0,3,1,0,8.05,0
1113,,22.0,2,0,0,10.5,0
1114,,21.0,3,1,0,7.7958,0
1115,,53.0,1,0,0,27.4458,0
1116,,29.881137667304014,3,0,2,15.2458,0
1117,,23.0,3,1,0,7.7958,0
1118,,29.881137667304014,3,0,0,7.75,0
1119,,40.5,3,1,0,15.1,0
1120,,36.0,2,1,0,13.0,0
1121,,14.0,2,1,0,65.0,0
1122,,21.0,1,0,0,26.55,0
1123,,21.0,3,1,0,6.4958,1
1124,,29.881137667304014,3,1,0,7.8792,0
1125,,39.0,1,1,0,71.2833,1
1126,,20.0,3,1,0,7.8542,0
1127,,64.0,1,1,0,75.25,1
1128,,20.0,3,1,0,7.225,0
1129,,18.0,2,0,1,13.0,1
1130,,48.0,1,0,0,106.425,1
1131,,55.0,1,0,0,27.7208,0
1132,,45.0,2,0,2,30.0,0
1133,,45.0,1,1,1,134.5,1
1134,,29.881137667304014,3,1,0,7.8875,0
1135,,29.881137667304014,3,1,2,23.45,1
1136,,41.0,1,1,0,51.8625,1
1137,,22.0,2,0,0,21.0,0
1138,,42.0,2,1,1,32.5,1
1139,,29.0,2,0,0,26.0,1
1140,,29.881137667304014,3,0,0,14.4542,1
1141,,0.92,2,0,2,27.75,1
1142,,20.0,3,1,0,7.925,0
1143,,27.0,1,1,0,136.7792,1
1144,,24.0,3,1,0,9.325,0
1145,,32.5,3,1,0,9.5,0
1146,,29.881137667304014,3,1,0,7.55,0
1147,,29.881137667304014,3,1,0,7.75,0
1148,,28.0,3,1,0,8.05,0
1149,,19.0,2,0,0,13.0,0
1150,,21.0,3,1,0,7.775,0
1151,,36.5,3,1,0,17.4,1
1152,,21.0,3,1,0,7.8542,0
1153,,29.0,2,0,2,23.0,0
1154,,1.0,3,0,1,12.1833,1
1155,,30.0,2,1,0,12.7375,0
1156,,29.881137667304014,3,1,0,7.8958,0
1157,,29.881137667304014,1,1,0,0.0,0
1158,,29.881137667304014,3,1,0,7.55,0
1159,,29.881137667304014,3,0,0,8.05,0
1160,,17.0,3,1,0,8.6625,0
1161,,46.0,1,1,0,75.2417,0
1162,,29.881137667304014,3,1,0,7.75,0
1163,,26.0,1,0,0,136.7792,1
1164,,29.881137667304014,3,0,0,15.5,1
1165,,29.881137667304014,3,1,0,7.225,0
1166,,20.0,2,0,0,26.0,1
1167,,28.0,2,1,0,10.5,0
1168,,40.0,2,1,0,26.0,1
1169,,30.0,2,1,0,21.0,1
1170,,22.0,2,1,0,10.5,0
1171,,23.0,3,0,0,8.6625,0
1172,,0.75,3,1,1,13.775,1
1173,,29.881137667304014,3,0,0,7.75,0
1174,,9.0,3,0,1,15.2458,1
1175,,2.0,3,0,1,20.2125,1
1176,,36.0,3,1,0,7.25,0
1177,,29.881137667304014,3,1,0,7.25,0
1178,,24.0,1,1,0,82.2667,1
1179,,29.881137667304014,3,1,0,7.2292,0
1180,,29.881137667304014,3,1,0,8.05,0
1181,,29.881137667304014,1,1,0,39.6,0
1182,,30.0,3,0,0,6.95,0
1183,,29.881137667304014,3,1,0,7.2292,0
1184,,53.0,1,1,1,81.8583,1
1185,,36.0,3,1,0,9.5,0
1186,,26.0,3,1,0,7.8958,0
1187,,1.0,2,0,2,41.5792,1
1188,,29.881137667304014,3,1,0,21.6792,2
1189,,30.0,1,1,0,45.5,0
1190,,29.0,3,1,0,7.8542,0
1191,,32.0,3,1,0,7.775,0
1192,,29.881137667304014,2,1,0,15.0458,0
1193,,43.0,2,1,1,21.0,0
1194,,24.0,3,1,0,8.6625,0
1195,,29.881137667304014,3,0,0,7.75,0
1196,,64.0,1,0,1,26.55,1
1197,,30.0,1,1,2,151.55,1
1198,,0.83,3,1,1,9.35,0
1199,,55.0,1,1,1,93.5,1
1200,,45.0,3,0,0,14.1083,1
1201,,18.0,3,1,0,8.6625,0
1202,,22.0,3,1,0,7.225,0
1203,,29.881137667304014,3,1,0,7.575,0
1204,,37.0,3,0,0,7.75,0
1205,,55.0,1,0,0,135.6333,0
1206,,17.0,3,0,0,7.7333,0
1207,,57.0,1,1,0,146.5208,1
1208,,19.0,2,1,0,10.5,0
1209,,27.0,3,1,0,7.8542,0
1210,,22.0,2,1,0,31.5,2
1211,,26.0,3,1,0,7.775,0
1212,,25.0,3,1,0,7.2292,0
1213,,26.0,2,1,0,13.0,0
1214,,33.0,1,1,0,26.55,0
1215,,39.0,1,0,0,211.3375,0
1216,,23.0,3,1,0,7.05,0
1217,,12.0,2,0,1,39.0,2
1218,,46.0,1,1,0,79.2,0
1219,,29.0,2,1,0,26.0,1
1220,,21.0,2,1,0,13.0,0
1221,,48.0,2,0,2,36.75,0
1222,,39.0,1,1,0,29.7,0
1223,,29.881137667304014,3,1,0,7.225,0
1224,,19.0,3,0,1,15.7417,1
1225,,27.0,3,1,0,7.8958,0
1226,,30.0,1,1,0,26.0,0
1227,,32.0,2,1,0,13.0,0
1228,,39.0,3,1,2,7.2292,0
1229,,25.0,2,1,0,31.5,0
1230,,29.881137667304014,3,1,0,7.2292,0
1231,,18.0,2,1,0,10.5,0
1232,,32.0,3,1,0,7.5792,0
1233,,29.881137667304014,3,1,9,69.55,1
1234,,58.0,1,0,1,512.3292,0
1235,,29.881137667304014,3,1,1,14.5,1
1236,,16.0,3,0,0,7.65,0
1237,,26.0,2,1,0,13.0,0
1238,,38.0,3,0,0,7.2292,0
1239,,24.0,2,1,0,13.5,0
1240,,31.0,2,0,0,21.0,0
1241,,45.0,1,0,1,63.3583,0
1242,,25.0,2,1,0,10.5,0
1243,,18.0,2,1,0,73.5,0
1244,,49.0,2,1,2,65.0,1
1245,,0.17,3,0,2,20.575,1
1246,,50.0,1,1,0,26.0,0
1247,,59.0,1,0,0,51.4792,2
1248,,29.881137667304014,3,1,0,7.8792,0
1249,,29.881137667304014,3,1,0,7.75,0
1250,,30.0,3,0,0,15.55,1
1251,,14.5,3,1,2,69.55,8
1252,,24.0,2,0,1,37.0042,1
1253,,31.0,2,0,0,21.0,0
1254,,27.0,3,1,0,8.6625,0
1255,,25.0,1,0,0,55.4417,1
1256,,29.881137667304014,3,0,9,69.55,1
1257,,29.881137667304014,3,1,0,14.4583,1
1258,,22.0,3,0,0,39.6875,0
1259,,45.0,1,0,1,59.4,0
1260,,29.0,2,1,0,13.8583,0
1261,,21.0,2,1,0,11.5,1
1262,,31.0,1,0,0,134.5,0
1263,,49.0,1,1,0,0.0,0
1264,,44.0,2,1,0,13.0,0
1265,,54.0,1,0,1,81.8583,1
1266,,45.0,1,0,0,262.375,0
1267,,22.0,3,0,0,8.6625,2
1268,,21.0,2,1,0,11.5,0
1269,,55.0,1,1,0,50.0,0
1270,,5.0,3,1,2,31.3875,4
1271,,29.881137667304014,3,1,0,7.75,0
1272,,26.0,3,1,0,7.8792,0
1273,,29.881137667304014,3,0,0,14.5,0
1274,,19.0,3,0,0,16.1,1
1275,,29.881137667304014,2,1,0,12.875,0
1276,,24.0,2,0,2,65.0,1
1277,,24.0,3,1,0,7.775,0
1278,,57.0,2,1,0,13.0,0
1279,,21.0,3,1,0,7.75,0
1280,,6.0,3,1,1,21.075,3
1281,,23.0,1,1,0,93.5,0
1282,,51.0,1,0,1,39.4,0
1283,,13.0,3,1,2,20.25,0
1284,,47.0,2,1,0,10.5,0
1285,,29.0,3,1,1,22.025,3
1286,,18.0,1,0,0,60.0,1
1287,,24.0,3,1,0,7.25,0
1288,,48.0,1,0,1,79.2,1
1289,,22.0,3,1,0,7.775,0
1290,,31.0,3,1,0,7.7333,0
1291,,30.0,1,0,0,164.8667,0
1292,,38.0,2,1,0,21.0,1
1293,,22.0,1,0,1,59.4,0
1294,,17.0,1,1,0,47.1,0
1295,,43.0,1,1,0,27.7208,1
1296,,20.0,2,1,0,13.8625,0
1297,,23.0,2,1,0,10.5,1
1298,,50.0,1,1,1,211.5,1
1299,,29.881137667304014,3,0,0,7.7208,0
1300,,3.0,3,0,1,13.775,1
1301,,29.881137667304014,3,0,0,7.75,0
1302,,37.0,1,0,0,90.0,1
1303,,28.0,3,0,0,7.775,0
1304,,29.881137667304014,3,1,0,8.05,0
1305,,39.0,1,0,0,108.9,0
1306,,38.5,3,1,0,7.25,0
1307,,29.881137667304014,3,1,0,8.05,0
1308,,29.881137667304014,3,1,1,22.3583,1
